"ABA","ABA 脱落酸"
"abasic site","abasic site 脱碱基位点，无碱基位点"
"abaxial","abaxial 远轴的"
"abequose","abequose 阿比可糖，beta脱氧岩藻糖"
"aberrant splicing","aberrant splicing 异常剪接"
"aberration","aberration 象差；畸变；失常"
"abiogenesis","abiogenesis 自然发生论，无生源论"
"ablastin","ablastin 抑殖素（抑制微生物细胞分裂或生殖的一种抗体）"
"abnormal distrbution","abnormal distrbution 非正态分布"
"abnormality","abnormality 异常，失常；畸形，畸变"
"ABO blood group system","ABO blood group system ABO血型系统"
"aboriginal mouse","aboriginal mouse 原生鼠"
"abortin","abortin 流产素"
"abortion","abortion 流产，败育"
"abortive egg","abortive egg 败育卵"
"abortive egg","abortive egg 败育卵"
"abortive infection","abortive infection 流产（性）感染"
"abortive transduction","abortive transduction 流产（性）转导"
"ABP","ABP 肌动蛋白结合蛋白"
"abrin","abrin 相思豆毒蛋白"
"abscisic acid","abscisic acid 脱落酸"
"abscission","abscission 脱落"
"absolute","absolute 绝对的"
"absolute configuration","absolute configuration 绝对构型"
"absolute counting","absolute counting 绝对测量"
"absolute deviation","absolute deviation 绝对偏差"
"absolute error","absolute error 绝对误差"
"absorbance","absorbance 吸收，吸光度"
"absorbed dose","absorbed dose 吸收剂量"
"absorbent","absorbent 吸收剂"
"absorptiometer","absorptiometer 吸光计"
"absorptiometry","absorptiometry 吸光测定法"
"absorption","absorption 吸收"
"absorption band","absorption band 吸收谱带"
"absorption cell","absorption cell 吸收池"
"absorption coefficient","absorption coefficient 吸收系数"
"absorption spectroscopy","absorption spectroscopy 吸收光谱法"
"absorption spectrum","absorption spectrum 吸收光谱；吸收谱"
"absorptive endocytosis","absorptive endocytosis 吸收（型）胞吞（作用）"
"absorptive pinocytosis","absorptive pinocytosis 吸收（型）胞饮（作用）"
"absorptivity","absorptivity 吸光系数；吸收性"
"abundance","abundance 丰度"
"abundant","abundant 丰富的，高丰度的"
"abundant mRNAs","abundant mRNAs 高丰度mRNA"
"abzyme","abzyme 抗体酶"
"acaricidin","acaricidin 杀螨剂"
"accedent variation","accedent variation 偶然变异"
"accelerated flow method","accelerated flow method 加速流动法"
"accepting arm","accepting arm [tRNA的]接纳臂"
"acceptor","acceptor 接纳体，（接）受体"
"acceptor site","acceptor site 接纳位点，接受位点"
"acceptor splicing site","acceptor splicing site 剪接受体"
"acceptor stem","acceptor stem [tRNA的]接纳茎"
"accessible","accessible 可及的"
"accessible promoter","accessible promoter 可及启动子"
"accessible surface","accessible surface 可及表面"
"accessory","accessory 零件，附件；辅助的"
"accessory cell","accessory cell 佐细胞"
"accessory cell","accessory cell 佐细胞"
"accessory chromosome","accessory chromosome 副染色体"
"accessory factor","accessory factor 辅助因子"
"accessory nucleus","accessory nucleus 副核"
"accessory pigment","accessory pigment 辅助色素"
"accessory protein","accessory protein 辅助蛋白（质）"
"accommodation","accommodation 顺应"
"accumulation","accumulation 积累，累积"
"accuracy","accuracy 准确度"
"acenaphthene","acenaphthene 二氢苊"
"acene","acene 并苯"
"acentric","acentric 无着丝粒的"
"acentric fragment","acentric fragment 无着丝粒断片"
"acentric ring","acentric ring 无着丝粒环"
"acetal","acetal 缩醛"
"acetaldehyde","acetaldehyde 乙醛"
"acetalresin","acetalresin 缩醛树脂"
"acetamidase","acetamidase 乙酰胺酶"
"acetamide","acetamide 乙酰胺"
"acetate","acetate 乙酸盐"
"acetic acid","acetic acid 乙酸，醋酸"
"acetic acid bacteria","acetic acid bacteria 乙酸菌，醋酸菌"
"acetic anhydride","acetic anhydride 乙酸酐"
"acetification","acetification 乙酸化作用，醋化作用"
"acetin","acetin 乙酸甘油酯，三乙酰甘油酯"
"acetoacetic acid","acetoacetic acid 乙酰乙酸"
"Acetobacter","Acetobacter 醋杆菌属"
"acetogen","acetogen 产乙酸菌"
"acetogenic bacteria","acetogenic bacteria 产乙酸菌"
"acetome body","acetome body 酮体"
"acetome powder","acetome powder 丙酮制粉[在-30度以下加丙酮制成的蛋白质匀浆物]"
"acetomitrile","acetomitrile 乙腈"
"acetone","acetone 丙酮"
"acetyl","acetyl 乙酰基"
"acetylcholine","acetylcholine 乙酰胆碱"
"acetylcholine agonist","acetylcholine agonist 乙酰胆碱拮抗剂"
"acetylcholine receptor","acetylcholine receptor 乙酰胆碱受体"
"acetylcholinesterase","acetylcholinesterase 乙酰胆碱酯酶"
"acetyl coenzyme A","acetyl coenzyme A 乙酰辅酶A"
"acetylene","acetylene 乙炔"
"acetylene reduction test","acetylene reduction test 乙炔还原试验[检查生物体的固氮能力]"
"acetylglucosaminidase","acetylglucosaminidase 乙酰葡糖胺糖苷酶"
"acetylglutamate synthetase","acetylglutamate synthetase 乙酰谷氨酸合成酶"
"acetylsalicylate","acetylsalicylate 乙酰水杨酸；乙酰水杨酸盐、酯、根"
"acetylsalicylic acid","acetylsalicylic acid 乙酰水杨酸"
"acetylspiramycin","acetylspiramycin 乙酰螺旋霉素"
"AchE","AchE 乙酰胆碱酯酶"
"achiral","achiral 非手性的"
"acholeplasma","acholeplasma 无胆甾原体"
"AchR","AchR 乙酰胆碱受体"
"achromatic","achromatic 消色的；消色差的"
"achromatic color","achromatic color 无色"
"achromatic lens","achromatic lens 消色差透镜"
"achromatin","achromatin 非染色质"
"A chromosome","A chromosome A染色体[二倍体染色体组中的正常染色体（不同于B染色体）]"
"acid catalysis","acid catalysis 酸催化"
"acid fibroblast growth factor","acid fibroblast growth factor 酸性成纤维细胞生长因子"
"acid fuchsin","acid fuchsin 酸性品红"
"acid fuchsin","acid fuchsin 酸性品红"
"acid glycoprotein","acid glycoprotein 酸性糖蛋白"
"acid hydrolyzed casein","acid hydrolyzed casein 酸水解酪蛋白"
"acidic","acidic 酸性的"
"acidic amino acid","acidic amino acid 酸性氨基酸"
"acidic protein","acidic protein 酸性蛋白质[有时特指非组蛋白]"
"acidic transactivator","acidic transactivator 酸性反式激活蛋白"
"acidic transcription activator","acidic transcription activator 酸性转录激活蛋白"
"acidification","acidification 酸化（作用）"
"acidifying","acidifying 酸化（作用）"
"acid medium","acid medium 酸性培养基"
"acid mucopolysaccharide","acid mucopolysaccharide 酸性粘多糖"
"acidolysis","acidolysis 酸解"
"acidophilia","acidophilia 嗜酸性"
"acidophilia","acidophilia 嗜酸性"
"acidophilic bacteria","acidophilic bacteria 嗜酸菌"
"acidophilous milk","acidophilous milk 酸奶"
"acid phosphatase","acid phosphatase 酸性磷酸酶"
"acid protease","acid protease 酸性蛋白酶"
"acid solvent","acid solvent 酸性溶剂"
"aclacinomycin","aclacinomycin 阿克拉霉素"
"acoelomata","acoelomata 无体腔动物"
"acomitic acid","acomitic acid 乌头酸"
"aconitase","aconitase 顺乌头酸酶"
"aconitate","aconitate 乌头酸；乌头酸盐、酯、根"
"aconitine","aconitine 乌头碱"
"aconitum alkaloid","aconitum alkaloid 乌头属生物碱"
"ACP","ACP 酰基载体蛋白"
"acquired character","acquired character 获得性状"
"acquired immunity","acquired immunity 获得性免疫"
"acridine","acridine 吖啶"
"acridine alkaloid","acridine alkaloid 吖啶（类）生物碱"
"acridine dye","acridine dye 吖啶燃料"
"acridine orange","acridine orange 吖啶橙"
"acridine orange","acridine orange 吖啶橙"
"acridine yellow","acridine yellow 吖啶黄"
"acridine yellow","acridine yellow 吖啶黄"
"acriflavine","acriflavine 吖啶黄素"
"acroblast","acroblast 原顶体"
"acrocentric chromosome","acrocentric chromosome 近端着丝染色体"
"acrocentric chromosome","acrocentric chromosome 近端着丝粒染色体"
"acrolein","acrolein 丙烯醛"
"acrolein polymer","acrolein polymer 丙烯醛类聚合物"
"acrolein resin","acrolein resin 丙烯醛树脂"
"acropetal translocation","acropetal translocation 向顶运输"
"acrosin","acrosin 顶体蛋白"
"acrosin","acrosin 顶体蛋白"
"acrosomal protease","acrosomal protease 顶体蛋白酶"
"acrosomal reaction","acrosomal reaction 顶体反应"
"acrosomal reaction","acrosomal reaction 顶体反应"
"acrosome","acrosome 顶体"
"acrosome","acrosome 顶体"
"acrosome reaction","acrosome reaction 顶体反应"
"acrosomic granule","acrosomic granule 原顶体"
"acrosomic granule","acroblast
acrosomic granule
acroblast 原顶体"
"acrosyndesis","acrosyndesis 端部联会"
"acrylamide","acrylamide 丙烯酰胺"
"acrylate","acrylate 丙烯酸酯、盐"
"acrylic acid","acrylic acid 丙烯酸"
"acrylic polymer","acrylic polymer 丙烯酸（酯）类聚合物"
"acrylic resin","acrylic resin 丙烯酸（酯）类树脂"
"acrylketone","acrylketone 丙烯酮"
"acrylonitrile","acrylonitrile 丙烯腈"
"actidione","actidione 放线（菌）酮[即环己酰亚胺]"
"actin","actin 肌动蛋白"
"actin","actin 肌动蛋白"
"actin filament","actin filament 肌动蛋白丝"
"actinin","actinin 辅肌动蛋白[分为alfa、beta两种，beta蛋白即加帽蛋白]"
"actinmicrofilament","actinmicrofilament 肌动蛋白微丝"
"actinometer","actinometer 化学光度计"
"actinomorphy","actinomorphy 辐射对称[用于描述植物的花]"
"actinomycetes","actinomycetes 放线菌"
"actinomycin D","actinomycin D 放线菌素D"
"actinospectacin","actinospectacin 放线壮观素，壮观霉素，奇霉素"
"action","action 作用"
"action current","action current 动作电流"
"action potential","action potential 动作电位"
"action spectrum","action spectrum 动作光谱"
"activated sludge","activated sludge 活性污泥"
"activated support","activated support 活化支持体"
"activating group","activating group 活化基团"
"activating transcription factor","activating transcription factor 转录激活因子"
"activation","activation 激活；活化"
"activation analysis","activation analysis 活化分析"
"activation energy","activation energy 活化能"
"activator","activator 激活物，激活剂，激活蛋白"
"activator protein","activator protein 激活蛋白"
"active absorption","active absorption 主动吸收"
"active biomass","active biomass 活生物质"
"active carbon","active carbon 活性碳"
"active center","active center 活性中心"
"active chromatin","active chromatin 活性染色质"
"active dry yeast","active dry yeast 活性干酵母"
"active dydrogen compounds","active dydrogen compounds 活性氢化合物"
"active ester of amino acid","active ester of amino acid 氨基酸的活化酯"
"active hydrogen","active hydrogen 活性氢"
"active immunity","active immunity 主动免疫"
"active oxygen","active oxygen 活性氧"
"active site","active site 活性部位，活性中心"
"active transport","active transport 主动转运"
"active transport","active transport 主动运输"
"active uptake","active uptake 主动吸收"
"activin","activin 活化素[由垂体合成并由睾丸和卵巢分泌的性激素]"
"activity","activity 活性，活度，（放射性）活度"
"actomyosin","actomyosin 肌动球蛋白"
"actomyosin","actomyosin 肌动球蛋白"
"actophorin","actophorin 载肌动蛋白[一种肌动蛋白结合蛋白]"
"acute","acute 急性的"
"acute infection","acute infection 急性感染"
"acute phase","acute phase 急性期"
"acute phase protein","acute phase protein 急性期蛋白，急相蛋白"
"acute phase reaction","acute phase reaction 急性期反应，急相反应[炎症反应急性期机体的防御反应]"
"acute phase reactive protein","acute phase reactive protein 急性期反应蛋白，急相反应蛋白"
"acute phase response","acute phase response 急性期反应，急相反应"
"acute toxicity","acute toxicity 急性毒性"
"ACV","ACV 无环鸟苷"
"acyclic nucleotide","acyclic nucleotide 无环核苷酸"
"acycloguanosine","acycloguanosine 无环鸟苷，9-（2-羟乙氧甲基）鸟嘌呤"
"acyclovir","acyclovir 无环鸟苷"
"acyl","acyl 酰基"
"acylamino acid","acylamino acid 酰基氨基酸"
"acylase","acylase 酰基转移酶"
"acylating agent","acylating agent 酰化剂"
"acylation","acylation 酰化"
"acylazide","acylazide 酰叠氮"
